member_name,video_id,video_title,analyzed
추미애,swvZ4JivoYE,[현장영상] &quot;누군가 뒤에서 조작·지령&quot;…추미애 종이 &#39;쓱&#39; 꺼내더니 / JTBC News,True
한기호,64I8oQMgKX8,손학규→안철수→한기호 &quot;이재명 지지&quot; 트리플 앗차차...연이어 터지는 실수 모음zip,True
한민수,kcNu-6bPhRk,윤석열 국민의힘 40초로 요약해버린 #한민수 feat. #최민희 #이재명 #윤석열 #국회 #과방위 #청문회,True
한병도,,한병도TV,False
한정애,509F_sGHSzY,창원NC파크 출격! 창원도~ 지금은 이재명! #골목골목 #경청투어 #경남 #창원 #한정애 #이재명 #지금은이재명 #진짜대한민국 #대선 #기호1번 #투표 #더불어민주당,True
한준호,lG-m7gMhz80,투표 안 한다고..?,True
한지아,iW7zx7zpOFA,대선후보들이 부르는 너에게 닿기를,True
한창민,Q7T96PwGSa0,노무현 대통령 조롱도 옹호하던 이준석 실체 까발려 박살낸 한창민  #한창민 민,True
허성무,,허성무 TV,False
허영,,춘천허영TV,False
허종식,f09Lny_ClO0,"저 허종식, 그리고 민주당 국회의원들이 앞장서겠습니다! #허종식 #더불어민주당 #내란종식",True
홍기원,,홍기원TV,False
황명선,,황명선TV,False
황운하,,황운하TV,False
황정아,,황정아TV,False
황희,EWdNsRdK0Hk,"설민석 강사 #07 | 황희 정승을 향한 세종대왕의 지독한 집착, 모친상으로 쉬고 있던 그에게 왕이 한 말은? | #어쩌다어른 #사피엔스",True
